Genre,Mode,Accuracy,F1 Micro,F1 Weighted,F1 Macro,Recall,Precision
社会与现实,per-genre,1.0,1.0,1.0,1.0,1.0,1.0
社会与现实,cross-genre,1.0,1.0,1.0,1.0,1.0,1.0
民俗与传统,per-genre,1.0,1.0,1.0,1.0,1.0,1.0
民俗与传统,cross-genre,1.0,1.0,1.0,1.0,1.0,1.0
风景与旅程,per-genre,0.0,0.0,0.0,0.0,0.0,0.0
风景与旅程,cross-genre,0.8571428571428571,0.8571428571428571,0.9230769230769231,0.46153846153846156,0.42857142857142855,0.5
生活与反思,per-genre,0.25,0.25,0.4,0.2,0.125,0.5
生活与反思,cross-genre,0.6428571428571429,0.6428571428571429,0.6324143692564744,0.5906432748538011,0.5888888888888889,0.6
爱与浪漫,per-genre,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25
爱与浪漫,cross-genre,0.6363636363636364,0.6363636363636364,0.6303030303030303,0.6333333333333333,0.65,0.6607142857142857
